0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,label
-55.49850331414997,-54.97959472763875,-55.50796961231806,-55.552553672316584,-55.3484727283833,-55.66983750639573,-55.557483505560725,-55.84866708049324,-55.42504734843881,-53.87250814707356,-52.95581745066465,-53.44935329587982,-53.14868996388419,-51.61482993837261,-46.87536671409236,-46.50413852678269,-50.856263139743675,-50.77848258172701,-48.82065881606482,-45.441261300787296,-38.70940077495765,-35.34422578058621,-29.357093335382633,-23.60565939608945,-20.6268119812508,-20.088702825938334,-20.685405812305284,-22.757536157697004,-27.702833772073333,-30.442230631965018,-35.950842215410596,-42.83150479611387,-45.75026948060777,-38.90056678744503,-27.82093747415181,-22.564280304919016,-24.048991062507397,-29.616094482494272,-35.031787762126335,-33.24510953114981,-25.464117740816697,-27.501883876272366,-39.02581554650102,-44.49082112384463,-45.26805214176358,-42.20262839910894,-41.74534750817894,-38.33254956548326,-32.57465269696446,-31.82345655922393,-33.8801834926297,-33.06667477605871,-31.408132864977787,-32.73989236822173,-32.47789000977458,-30.659034335479184,-33.432023623262644,-42.50617215185897,-29.77375948997818,-18.468919927652223,-15.387772454056364,-18.776143342211018,-23.64815577545005,-32.3061301242252,-38.76352147574421,male_angry
-49.5443122924905,-49.42234387720186,-49.429454612577175,-48.93271074477696,-49.34166582981723,-49.26224743927028,-48.694183620427296,-48.500525592783255,-48.55159909419816,-47.93212463959582,-47.42008965984761,-45.77512760852346,-43.07927147439014,-42.503384730024514,-39.58650764611196,-37.18363067188871,-38.32222560864238,-37.32967443193219,-28.351164735927934,-23.36165885005784,-23.618665195831305,-28.633756039777346,-32.421468774833905,-32.80511725605498,-31.907516996200137,-30.9987714694391,-28.177662067498208,-27.092704485118077,-33.14457700135469,-37.27462147450401,-32.9380525701343,-33.84457510917047,-35.02805977941938,-33.18672480837594,-34.78808970691344,-40.6966717263673,-39.18049743747887,-34.519679346643514,-35.407185712363855,-36.024800906384456,-31.261571376407627,-32.63355026328165,-31.91688022512839,-30.13498117525397,-30.74402901718201,-31.615236522008693,-36.31462883333274,-41.29469953111062,-43.72920588737062,-40.53499747129072,-34.451282689100225,-32.6163817253677,-35.42904060677884,-35.73959045346259,-26.771582921496766,-22.040530336667132,-21.883282703291442,-23.411231956347265,-27.126292551529506,-31.09509285157305,-32.34019904913959,-34.277412153285105,-38.41736833108006,-40.10537371151549,-41.82648467035502,male_angry
-37.93184831513189,-38.31888926770951,-38.64111936715115,-38.549526880499435,-38.589054846504915,-36.68299869397813,-37.04417034554087,-37.32021681147257,-37.60454523097174,-37.5443984652166,-37.588176544996486,-37.146203168152034,-35.50419296661933,-29.173401555095456,-19.705201719194918,-14.827205046237449,-11.288914282682061,-10.246426532215212,-13.506380997388687,-20.133959059331485,-22.561847406375968,-15.94629748504056,-8.391184486821619,-7.217300909156622,-10.707560860279399,-12.084540325585785,-15.229979233660318,-19.852399566407374,-26.042184574344994,-27.481610055057555,-21.248170426230224,-18.659011446925028,-17.985404760580984,-13.307332250528885,-8.276892210840984,-8.075792762293586,-14.404654855146777,-18.371998279243293,-20.478038179359466,-14.720707517269725,-11.804791289787847,-12.37126976563393,-12.523671528425949,-12.219836487024137,-15.437648965907213,-23.2654659238922,-22.812885611349643,-19.599642746709744,-17.156353612285827,-17.163676471499862,-17.391215651764796,-22.907727376894403,-32.290963720320796,-34.03450854004506,-32.51895556786165,-31.257817390953,-31.77021574835928,-32.82261468721482,-33.38815451889134,-31.616712640431267,-32.499274563024315,-34.182299465694456,-35.12645774146532,-33.59555375043508,-33.196632507446594,male_happy
-35.51570053289075,-34.52442402925658,-33.64644135058819,-32.55172822293567,-31.745937806009046,-32.456692468530605,-32.49616558694296,-33.14380976214404,-31.588545505225245,-25.176229860432667,-22.23805111518953,-23.47271168906195,-13.236748156466591,-7.1479982418081764,-7.049591737136874,-12.791918842290869,-18.775462457175134,-22.688414529962582,-22.36054849834587,-20.952571553348402,-14.719341687921949,-11.593135349034387,-16.320641986459055,-23.769236661712096,-26.516902627276888,-25.18216952855215,-24.558348961289735,-24.359994377473484,-27.545519563479324,-26.552115417721414,-19.87559298545977,-19.829409112622372,-25.083806858098708,-23.143542098049245,-17.246250297723403,-12.632738833408707,-11.456284737041607,-14.607967480952967,-21.08304573037178,-30.542578803958367,-32.977797326774265,-28.963231624190538,-23.460276296297955,-21.766014446574747,-24.867390232807267,-27.283427790211597,-14.912658119883238,-12.28103613598371,-16.597700893381994,-19.730633472158907,-19.6072591881889,-20.555639991731052,-20.982427636848797,-17.834018022782413,-16.239897407368662,-17.30137373030463,-15.038493213255427,-8.580668720272154,-7.472319772675922,-8.022518104853352,-9.880531289623105,-15.233159639731326,-21.87118950980406,-30.31513650670236,-35.483054671426075,male_happy
-29.39293525401293,-30.192500693301458,-24.153385399673116,-19.42650039438323,-19.496237054294802,-22.046255355908137,-25.21417816888646,-28.053571911895638,-31.099040782525165,-32.763491360831196,-30.715058497556733,-16.971581335855497,-13.146379356549001,-13.946122500339182,-12.701755981711749,-10.964933148450891,-12.955781893015216,-16.50757262541338,-9.681505011840825,-6.623990366258935,-11.914428857327481,-17.163679169210347,-15.279105335878317,-13.852871032202888,-13.797650968226614,-19.87999075471354,-22.64489772467505,-17.536076639414652,-17.175605893737377,-17.899664369511502,-8.129034478996791,-6.9892121189777425,-9.73453042424737,-12.970145649256796,-14.488942530867973,-13.746403095394042,-15.539386230097826,-18.229404435591594,-20.193223274515432,-20.115843007626008,-19.470867978101218,-18.50594699559109,-17.88607870517163,-21.87955980961601,-31.54348685517261,-26.416046061714443,-21.630727213428205,-22.212506809853387,-22.936314748062323,-20.25978152690881,-16.95927051087386,-19.166263551511754,-20.386994438229518,-17.522063788099384,-19.335743191004234,-22.696797098959646,-22.95934398160122,-21.806989173226228,-20.436475369607955,-18.96198502107877,-15.68725135448118,-14.368329801105036,-18.84393764734326,-30.566204253364706,-36.60205038185835,male_happy
-37.63412836013973,-36.56449703807976,-37.05685770935102,-39.00287889694401,-38.70073931732803,-37.36615351961071,-36.81048553594304,-36.84960252008752,-35.95487061516967,-35.17827286075741,-33.528003839312056,-22.258238891338735,-10.984691899247697,-7.9181449688945715,-11.78517566332319,-15.292839048885382,-15.382393358623894,-10.61024755309741,-10.188879195173696,-16.614977199320048,-22.007122586506526,-25.163740593774094,-25.940094922401993,-22.96133529573105,-24.87137498977181,-28.733521312478047,-27.8268630281812,-27.513386238425003,-19.221414658539654,-17.13752721472498,-20.531363370295146,-22.19655979403245,-25.384791741687103,-30.777290494369474,-34.320048906526765,-36.85229718158241,-37.71272660283417,-36.945249705764375,-32.556801840973506,-31.88895133672317,-33.22143103756975,-31.151194812882576,-28.791845308649776,-28.477072248493922,-21.30532348155338,-22.337627365689475,-32.81191139461431,-36.15693947594336,-28.25071406103109,-16.076298837821238,-16.088746292000046,-27.91893244606164,-31.7780527412059,-32.451559855433786,-32.70120244387168,-29.382148431020855,-29.94919322806993,-25.57781616107415,-24.47838809719573,-28.152678686024494,-33.34739242393997,-34.2386883808403,-32.470313796002046,-32.084771075040145,-34.099542712027215,male_happy
-36.753797796088854,-35.45421603819934,-34.64657275486407,-34.94721205401851,-35.263177394674145,-35.42436705572573,-36.77511183504868,-36.65322347784029,-36.2887343676573,-35.752238362487795,-35.67785734123595,-33.57981411356257,-29.593905593842557,-24.531320752219866,-19.88579742892373,-14.098880599361639,-4.599035372386087,-1.5159553441142977,-3.8557587698558766,-11.354568083662912,-18.62906951060731,-22.962894526746222,-24.743334594824322,-26.06464527370065,-33.205428337850734,-22.816087379531854,-10.895510446569034,-8.320470325249298,-11.978024911999805,-15.625534898503266,-15.997773689450488,-15.852838388501644,-16.463215218935485,-13.252301912529951,-15.26747713174951,-22.808181794893308,-21.569860338102288,-16.514398831227364,-14.393285034965288,-16.39812621701881,-19.635666856247276,-22.223017538826205,-24.477006601009563,-25.85925068392857,-26.237901991019125,-19.15748066261722,-16.662768879183673,-11.764008120821757,-8.524170582694214,-12.88745173891411,-29.59962642885002,-36.19858106910896,-19.478405339741606,-4.175384867248946,-0.9310199997078283,-5.514484164506028,-15.43311367750975,-25.45004494377255,-28.71315060123751,-21.994139727360132,-17.965908793079123,-17.477749004395175,-14.972348991524727,-16.240322399110887,-15.296371168862644,male_happy
-36.247142844716244,-37.19713754831414,-38.38659739999365,-38.97526794571537,-38.24871797074366,-38.69817385386033,-36.80905787989804,-34.158348806708986,-32.14606372212876,-28.465806328424478,-26.101738111642682,-25.224980364297743,-23.98644267462216,-22.008456252843228,-20.828715007796713,-20.110598337757665,-19.35278207105388,-16.96589940627105,-14.548802242450392,-14.24210446909048,-14.608223436504428,-17.391153667572517,-22.69167764825876,-25.25322704437108,-26.84015479082806,-25.935794119986554,-11.36415327207491,-7.795126717914328,-8.509942236701049,-9.7809847936726,-15.354316051878623,-13.756573646225506,-14.181233490750499,-19.5775219676303,-23.46245610250653,-28.607638102789654,-31.892943488796885,-33.53671733604128,-35.04360342994084,-35.32555852698338,-32.371594862444766,-28.194614108827547,-16.518264962680817,-5.799655423712265,-3.6742626017395663,-5.896115366931294,-9.437392744357119,-12.515109927961126,-12.797236264684967,-12.655956307163823,-17.354040931676252,-28.012916080449777,-31.86515873288406,-31.40721577741015,-22.86870824659771,-21.3013321486048,-24.577640849814074,-26.818824419005384,-19.95324768624886,-19.821483196945152,-26.45443813813646,-33.013269209094126,-37.75964652188874,-36.306653289944535,-35.301958685170874,male_happy
-35.78611503367544,-34.27152936719881,-33.59212717873981,-33.292516585546565,-32.321983128600124,-32.59248411897487,-33.52136174891855,-34.218381128579786,-34.82453835035264,-33.79310920062397,-30.514148455519525,-28.53324957024229,-19.769693574197802,-13.343162378476297,-12.475404051259478,-11.231680097307477,-9.054067994526413,-12.149761271790522,-18.863191499865692,-12.264159060426683,-10.418054335211469,-11.929685466831009,-8.013520877465986,-7.42305689560872,-10.756399239859807,-12.150967883104634,-12.50896327680666,-14.26206828595657,-18.490419441160746,-23.147605106526523,-22.528268594456353,-15.871087906768253,-14.23459295571653,-17.09113592935393,-20.746332143968985,-11.273580805243133,-5.376168488622556,-5.451232201554002,-8.367756098024222,-9.175546608751933,-11.776189184659755,-11.465168280128411,-10.908556774805666,-11.023546734665754,-11.705881490771207,-10.105805680252953,-9.134379349656951,-10.45300050333739,-11.916305840542224,-14.746437636364668,-8.06948018053052,-6.469759612927775,-10.858035575701535,-13.449622406639085,-19.274838819036056,-28.54546271093399,-29.50412123802939,-30.588355772187846,-32.37710092492493,-31.995350829932594,-31.439156184509276,-32.948253286359055,-33.87806915405583,-34.43405201750417,-34.3416133337038,male_calm
-34.6789357948405,-35.062603877665964,-35.94476692834715,-35.758353016154516,-35.76194745031592,-35.042793272875336,-33.80960872921216,-33.67300282413831,-32.855800480200124,-33.22381904267509,-32.58060305067646,-31.648697038890685,-17.141691512259737,-10.166139606971425,-8.948087759226892,-11.20219371508885,-14.765118966653008,-15.245230000710906,-16.564368457840388,-16.294135766469378,-8.94112871342084,-7.646117184881467,-11.387081258618583,-14.332079579446106,-16.33177905267306,-17.170373053543212,-14.72063494867241,-14.613931964855833,-20.458252718390217,-20.3449700698461,-14.804217265249568,-14.90109895627122,-17.81156852407747,-17.572382044732876,-15.160980494750412,-14.684230525251293,-15.027510818234582,-15.843114039769047,-16.876924725433796,-19.193812984908497,-21.65473815590824,-26.05637703099216,-30.17508637156507,-22.451771798803698,-18.396789581694595,-17.28523397850676,-21.64899439027743,-18.783584736635195,-6.660546877443759,-3.8501407353390644,-8.04476191094872,-12.819837554392421,-14.217003935301772,-15.963877181039093,-16.646929763534196,-16.504240597487854,-17.590260162712383,-18.95148763306925,-18.792230986612967,-17.97816652479101,-17.320891798997955,-12.108537236025978,-10.95990239986216,-13.027971164493747,-8.650345522579729,male_calm
